Player,Runs,Fours,Sixes,Dots,Wickets,RunsConceded,Overs,StrikeRate,Economy,PerformanceScore
Andrew Symonds,10345,0.0,0.0,0.0,37,1286,256.0,1034500.0,5.003891050583658,11270
Andrew Tye,19593,0.0,0.0,0.0,173,3812,478.4,1959300.0,7.951606174384648,23918
Andrew White,3107,0.0,0.0,0.0,7,321,62.8,310700.0,5.031347962382445,3282
Andy Blignaut,960,0.0,0.0,0.0,3,127,28.0,96000.0,4.379310344827586,1035
Andy McBrine,2327,0.0,0.0,0.0,8,427,77.0,232700.0,5.4743589743589745,2527
Andy McKay,3618,0.0,0.0,0.0,19,694,135.2,361800.0,5.095447870778267,4093
Angelo Mathews,46938,0.0,0.0,0.0,137,4850,1042.5,4693800.0,4.647819837086727,50363
Angelo Perera,352,0.0,0.0,0.0,0,16,3.0,35200.0,4.0,352
Aniket Choudhary,804,0.0,0.0,0.0,5,144,16.5,80400.0,8.228571428571428,929
Anil Kumble,25717,0.0,0.0,0.0,192,5825,1678.4,2571700.0,3.4685006549958315,30517
Ankeet Chavan,1813,0.0,0.0,0.0,8,326,41.2,181300.0,7.725118483412322,2013
Ankit Rajpoot,4651,0.0,0.0,0.0,24,814,88.1,465100.0,9.135802469135802,5251
Ankit Sharma,3491,0.0,0.0,0.0,12,450,61.1,349100.0,7.246376811594203,3791
Ankit Soni,1015,0.0,0.0,0.0,2,144,18.1,101500.0,7.539267015706805,1065
Anrich Nortje,8341,0.0,0.0,0.0,58,1617,309.3,834100.0,5.2110860457621655,9791
Anthony Ireland,481,0.0,0.0,0.0,4,113,20.0,48100.0,5.380952380952381,581
Anthony Martin,1339,0.0,0.0,0.0,11,239,55.0,133900.0,4.267857142857143,1614
Anton Devcich,1209,0.0,0.0,0.0,1,151,23.0,120900.0,6.291666666666667,1234
Anukul Roy,109,0.0,0.0,0.0,1,11,2.0,10900.0,3.6666666666666665,134
Anureet Singh,3629,0.0,0.0,0.0,18,623,68.0,362900.0,9.028985507246377,4079
Anwar Ali,2654,0.0,0.0,0.0,7,419,70.0,265400.0,5.901408450704225,2829
Arafat Sunny,894,0.0,0.0,0.0,3,134,21.0,89400.0,6.090909090909091,969
Arjun Nair,4433,0.0,0.0,0.0,22,583,76.0,443300.0,7.571428571428571,4983
Arshad Khan,1624,0.0,0.0,0.0,10,221,44.0,162400.0,4.911111111111111,1874
Arshdeep Singh,1892,0.0,0.0,0.0,12,327,34.5,189200.0,9.211267605633802,2192
Asad Ali,454,0.0,0.0,0.0,1,55,12.0,45400.0,4.230769230769231,479
Asad Pathan,467,0.0,0.0,0.0,0,63,6.3,46700.0,8.63013698630137,467
Asad Shafiq,1966,0.0,0.0,0.0,0,49,15.0,196600.0,3.0625,1966
Asela Gunaratne,3665,0.0,0.0,0.0,4,361,53.5,366500.0,6.623853211009174,3765
Ashan Priyanjan,1952,0.0,0.0,0.0,2,130,23.1,195200.0,5.394190871369294,2002
Ashish Nehra,31633,0.0,0.0,0.0,226,5913,882.1,3163300.0,6.695730947797531,37283
Ashish Reddy,3133,0.0,0.0,0.0,18,396,43.0,313300.0,9.0,3583
Ashley Noffke,490,0.0,0.0,0.0,3,109,17.0,49000.0,6.055555555555555,565
Ashley Nurse,8219,0.0,0.0,0.0,25,1309,212.5,821900.0,6.131147540983607,8844
Ashok Dinda,15769,0.0,0.0,0.0,96,2878,375.8,1576900.0,7.638004246284501,18169
Ashok Menaria,1786,0.0,0.0,0.0,3,144,18.2,178600.0,7.5,1861
Ashton Agar,14462,0.0,0.0,0.0,75,2328,351.6,1446200.0,6.602382302892796,16337
Ashton Turner,3799,0.0,0.0,0.0,14,262,37.0,379900.0,6.894736842105263,4149
Ashwell Prince,627,0.0,0.0,0.0,0,16,3.0,62700.0,4.0,627
Asif Ali,359,0.0,0.0,0.0,0,9,0.5,35900.0,6.0,359
Avesh Khan,1404,0.0,0.0,0.0,5,299,30.0,140400.0,9.64516129032258,1529
